NOMBRE,PRESENTACIÓN,MONODROGA,LABORATORIO,VADEMÉCUM,FCIAS. PROPIAS,FCIAS. CONVENIDAS,OBSERV
4 x 4,50 mg comp.rec.x 4,sildenafil,ISA,AMBULATORIO UNIFICADO,50%,40%,
4 x 4,50 mg comp.rec.x 4,sildenafil,ISA,AMBULATORIO UNIFICADO,50%,40%,
5 XR 500,500 mg comp.x 50,mesalazina,Ariston,CRONICOS,70%,70%,
5 XR 500,500 mg comp.x 100,mesalazina,Ariston,CRONICOS,70%,70%,
5 XR 500,500 mg comp.x 50,mesalazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
5 XR 500,500 mg comp.x 100,mesalazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
5 XR 500,500 mg comp.x 50,mesalazina,Ariston,CRONICOS,70%,70%,
5 XR 500,500 mg comp.x 100,mesalazina,Ariston,CRONICOS,70%,70%,
5 XR 500,500 mg comp.x 50,mesalazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
5 XR 500,500 mg comp.x 100,mesalazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 1000,1 g sup.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 1000,1 g sob.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 1000,1 g sup.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 1000,1 g sob.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 1000,1 g sup.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 1000,1 g sob.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 1000,1 g sup.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 1000,1 g sob.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 2000,2 g sob.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 2000,2 g sob.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 2000,2 g sob.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 2000,2 g sob.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 400,400 mg comp.x 60,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 400,400 mg comp.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 400,400 mg sup.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 400,400 mg sup.x 10,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 400,400 mg sup.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 400,400 mg comp.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 400,400 mg comp.x 60,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 400,400 mg sup.x 10,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 400,400 mg comp.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 400,400 mg comp.x 60,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 400,400 mg sup.x 10,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 400,400 mg sup.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 400,400 mg comp.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 400,400 mg comp.x 60,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 400,400 mg sup.x 10,mesalazina,Domínguez,CRONICOS,70%,70%,
